environment,agent,family,config_id,hyperparams,status,selection_score,avg_reward,std_reward,min_reward,max_reward,median_reward,avg_length,avg_step_time_ms,win_rate,loss_rate,draw_rate,num_episodes,episodes_trained,training_time_seconds,seed,error,rank
Quarto,REINFORCE,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.6515303872420537,0.5,0.8660254037844386,,,,6.5,9.06796620005653,0.75,0.25,0.0,20,100,6.674896478652954,43,,3
Quarto,REINFORCE+Mean,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.6445195480635882,0.5,0.806225774829855,,,,6.6,10.22556973355157,0.7,0.2,0.1,20,100,6.217818021774292,43,,4
Quarto,A2C,actor_critic,1,"{""discount_factor"": 0.95, ""entropy_coef"": 0.0, ""learning_rate"": 0.003}",OK,0.5337231911947877,0.4,0.9165151389911679,,,,6.8,7.2619233812604636,0.7,0.3,0.0,20,100,5.8611156940460205,43,,5
Quarto,Random,baseline,1,{},OK,0.5336921711651417,0.4,0.9165151389911679,,,,6.4,7.522224897430055,0.7,0.3,0.0,20,100,5.717405796051025,43,,6
Quarto,PPO,actor_critic_policy_optimization,1,"{""clip_ratio"": 0.1, ""discount_factor"": 0.95, ""learning_rate"": 0.003}",OK,0.5267620689774415,0.4,0.8602325267042626,,,,6.55,7.462170961357299,0.65,0.25,0.1,20,100,7.625035285949707,43,,7
Quarto,DQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.3532727350829127,0.25,0.9420721840708386,,,,6.85,9.03965826545443,0.6,0.35,0.05,20,100,7.819049119949341,43,,8
Quarto,REINFORCE+Critic,policy_gradient,1,"{""discount_factor"": 0.95, ""hidden_layers"": [64], ""learning_rate"": 0.005}",OK,0.2980470027010829,0.2,0.9797958971132713,,,,6.3,7.628220873219625,0.6,0.4,0.0,20,100,6.014603137969971,43,,9
Quarto,DDQN+ER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.23576309082115243,0.15,0.9630680142129111,,,,6.75,7.21719604162943,0.55,0.4,0.05,20,100,8.027975797653198,43,,10
Quarto,DoubleDQN,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.17348251996653755,0.1,0.9433981132056604,,,,6.9,7.032524815627506,0.5,0.4,0.1,20,100,6.962073087692261,43,,11
Quarto,DDQN+PER,deep_value_based,1,"{""discount_factor"": 0.95, ""epsilon_decay"": 0.995, ""learning_rate"": 0.001}",OK,0.0627618828765954,0.0,1.0,,,,6.75,8.37566144409634,0.5,0.5,0.0,20,100,7.711556434631348,43,,12
